Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death,Longitude,Latitude,,,
Hubei,Mainland China,2/5/2020,16678,,538,479,112.8783222,31.1517252,,,
Guangdong,Mainland China,2/5/2020,895,,49,0,113.1982688,23.1357694,,,
Zhejiang,Mainland China,2/5/2020,895,,78,0,119.9999999,29.0000001,,,
Henan,Mainland China,2/5/2020,764,,47,2,113.9999999,34.0000001,,,
Hunan,Mainland China,2/5/2020,661,,54,0,111.7487063,27.6662087,,,
Jiangxi,Mainland China,2/5/2020,548,,27,0,116,28,,,
Anhui,Mainland China,2/5/2020,530,,23,0,117,32,,,
Chongqing,Mainland China,2/5/2020,376,,15,2,106.5492822,29.5585712,,,
Jiangsu,Mainland China,2/5/2020,341,,23,0,119.9999999,33.0000001,,,
Shandong,Mainland China,2/5/2020,307,,15,0,118.9999999,36.0000001,,,
Sichuan,Mainland China,2/5/2020,301,,24,1,102.4999999,30.5000001,,,
Beijing,Mainland China,2/5/2020,253,,24,1,116.3912757,39.906217,,,
Shanghai,Mainland China,2/5/2020,243,,15,1,121.4890497,31.2252985,,,
Fujian,Mainland China,2/5/2020,205,,11,0,117.842778,26.5450001,,,
Heilongjiang,Mainland China,2/5/2020,190,,7,2,127.999992,48.0000047,,,
Shaanxi,Mainland China,2/5/2020,165,,6,0,109,36,,,
Guangxi,Mainland China,2/5/2020,150,,13,0,109,24,,,
Hebei,Mainland China,2/5/2020,135,,6,1,116,39.0000001,,,
Yunnan,Mainland China,2/5/2020,124,,5,0,102,25,,,
Hainan,Mainland China,2/5/2020,99,,5,1,109.5999999,19.2000001,,,
Liaoning,Mainland China,2/5/2020,89,,4,0,122.3263915,40.9739116,,,
Shanxi,Mainland China,2/5/2020,81,,5,0,112,37,,,
Tianjin,Mainland China,2/5/2020,69,,2,1,117.1980785,39.1235635,,,
Guizhou,Mainland China,2/5/2020,64,,9,1,107,27,,,
Gansu,Mainland China,2/5/2020,62,,6,0,101.9999999,38.0000001,,,
Jilin,Mainland China,2/5/2020,54,,2,0,125.9816054,42.9995032,,,
Inner Mongolia,Mainland China,2/5/2020,42,,3,0,114.3251664,43.2443242,,,
Ningxia,Mainland China,2/4/2020,34,,1,0,105.9608553,37.3095528,,,
Xinjiang,Mainland China,2/5/2020,32,,0,0,87.167384,41.757476,,,
,Singapore,2/5/2020,28,,0,0,,,,,
,Thailand,2/4/2020,25,,5,0,,,,,
,Japan,2/4/2020,22,,1,0,,,,,
Hong Kong,Hong Kong,2/5/2020,21,,0,1,,,,,
,South Korea,2/5/2020,19,,0,0,,,,,
Qinghai,Mainland China,2/5/2020,17,,3,0,,,,,
,Germany,2/3/2020,12,,0,0,,,,,
,Malaysia,2/5/2020,12,,0,0,,,,,
Taiwan,Taiwan,2/4/2020,11,,0,0,,,,,
Macau,Macau,2/4/2020,10,,0,0,,,,,
,Vietnam,2/3/2020,8,,1,0,,,,,
,France,2/1/2020,6,,0,0,,,,,
,United Arab Emirates,2/2/2020,5,,0,0,,,,,
New South Wales,Australia,2/1/2020,4,,2,0,,,,,
Victoria,Australia,2/1/2020,4,,0,0,,,,,
Queensland,Australia,2/4/2020,3,,0,0,,,,,
,India,2/3/2020,3,,0,0,,,,,
South Australia,Australia,2/2/2020,2,,0,0,,,,,
"Toronto, ON",Canada,2/4/2020,2,,0,0,,,,,
,Italy,1/31/2020,2,,0,0,,,,,
,Philippines,2/2/2020,2,,0,1,,,,,
,Russia,1/31/2020,2,,0,0,,,,,
,UK,2/1/2020,2,,0,0,,,,,
"Chicago, IL",United States,2/1/2020,2,,0,0,,,,,
"San Benito, CA",United States,2/3/2020,2,,0,0,,,,,
"Santa Clara, CA",United States,2/3/2020,2,,0,0,,,,,
,Belgium,2/4/2020,1,,0,0,,,,,
,Cambodia,1/31/2020,1,,0,0,,,,,
British Columbia,Canada,2/1/2020,1,,0,0,,,,,
"London, ON",Canada,2/4/2020,1,,0,0,,,,,
,Finland,1/31/2020,1,,0,0,,,,,
Tibet,Mainland China,2/1/2020,1,,0,0,,,,,
,Nepal,1/31/2020,1,,0,0,,,,,
,Spain,2/1/2020,1,,0,0,,,,,
,Sri Lanka,1/31/2020,1,,0,0,,,,,
,Sweden,2/1/2020,1,,0,0,,,,,
"Boston, MA",United States,2/1/2020,1,,0,0,,,,,
"Los Angeles, CA",United States,2/1/2020,1,,0,0,,,,,
"Orange, CA",United States,2/1/2020,1,,0,0,,,,,
"Seattle, WA",United States,2/1/2020,1,,0,0,,,,,
"Tempe, AZ",United States,2/1/2020,1,,0,0,,,,,
Hubei,Mainland China,2/4/2020,16678,,522,479,112.8783222,31.1517252,,,
Zhejiang,Mainland China,2/5/2020,895,,63,0,119.9999999,29.0000001,,,
Guangdong,Mainland China,2/5/2020,870,,32,0,113.1982688,23.1357694,,,
Henan,Mainland China,2/5/2020,764,,41,2,113.9999999,34.0000001,,,
Hunan,Mainland China,2/5/2020,661,,35,0,111.7487063,27.6662087,,,
Jiangxi,Mainland China,2/5/2020,548,,27,0,116,28,,,
Anhui,Mainland China,2/5/2020,530,,20,0,117,32,,,
Chongqing,Mainland China,2/5/2020,366,,14,2,106.5492822,29.5585712,,,
Jiangsu,Mainland China,2/5/2020,341,,13,0,119.9999999,33.0000001,,,
Sichuan,Mainland China,2/5/2020,301,,23,1,102.4999999,30.5000001,,,
Shandong,Mainland China,2/5/2020,298,,13,0,118.9999999,36.0000001,,,
Shanghai,Mainland China,2/5/2020,233,,12,1,121.4890497,31.2252985,,,
Beijing,Mainland China,2/4/2020,228,,23,1,116.3912757,39.906217,,,
Fujian,Mainland China,2/4/2020,194,,3,0,117.842778,26.5450001,,,
Heilongjiang,Mainland China,2/5/2020,190,,4,2,127.999992,48.0000047,,,
Shaanxi,Mainland China,2/5/2020,165,,2,0,109,36,,,
Guangxi,Mainland China,2/5/2020,150,,10,0,109,24,,,
Hebei,Mainland China,2/5/2020,135,,4,1,116,39.0000001,,,
Yunnan,Mainland China,2/4/2020,122,,5,0,102,25,,,
Hainan,Mainland China,2/5/2020,91,,4,1,109.5999999,19.2000001,,,
Liaoning,Mainland China,2/4/2020,81,,2,0,122.3263915,40.9739116,,,
Shanxi,Mainland China,2/4/2020,81,,4,0,112,37,,,
Tianjin,Mainland China,2/4/2020,67,,2,0,117.1980785,39.1235635,,,
Guizhou,Mainland China,2/5/2020,64,,5,0,107,27,,,
Gansu,Mainland China,2/4/2020,57,,4,0,101.9999999,38.0000001,,,
Jilin,Mainland China,2/5/2020,54,,1,0,125.9816054,42.9995032,,,
Inner Mongolia,Mainland China,2/5/2020,42,,1,0,114.3251664,43.2443242,,,
Ningxia,Mainland China,2/4/2020,34,,1,0,105.9608553,37.3095528,,,
Xinjiang,Mainland China,2/5/2020,32,,0,0,87.167384,41.757476,,,
,Thailand,2/4/2020,25,,5,0,,,,,
,Singapore,2/4/2020,24,,0,0,,,,,
,Japan,2/4/2020,22,,1,0,,,,,
Hong Kong,Hong Kong,2/5/2020,18,,0,1,,,,,
Qinghai,Mainland China,2/5/2020,17,,0,0,,,,,
,South Korea,2/4/2020,16,,0,0,,,,,
,Germany,2/3/2020,12,,0,0,,,,,
Taiwan,Taiwan,2/4/2020,11,,0,0,,,,,
Macau,Macau,2/4/2020,10,,0,0,,,,,
,Malaysia,2/4/2020,10,,0,0,,,,,
,Vietnam,2/3/2020,8,,1,0,,,,,
,France,2/1/2020,6,,0,0,,,,,
,United Arab Emirates,2/2/2020,5,,0,0,,,,,
New South Wales,Australia,2/1/2020,4,,2,0,,,,,
Victoria,Australia,2/1/2020,4,,0,0,,,,,
Queensland,Australia,2/4/2020,3,,0,0,,,,,
,India,2/3/2020,3,,0,0,,,,,
South Australia,Australia,2/2/2020,2,,0,0,,,,,
"Toronto, ON",Canada,2/4/2020,2,,0,0,,,,,
,Italy,1/31/2020,2,,0,0,,,,,
,Philippines,2/2/2020,2,,0,1,,,,,
,Russia,1/31/2020,2,,0,0,,,,,
,UK,2/1/2020,2,,0,0,,,,,
"Chicago, IL",United States,2/1/2020,2,,0,0,,,,,
"San Benito, CA",United States,2/3/2020,2,,0,0,,,,,
"Santa Clara, CA",United States,2/3/2020,2,,0,0,,,,,
,Belgium,2/4/2020,1,,0,0,,,,,
,Cambodia,1/31/2020,1,,0,0,,,,,
British Columbia,Canada,2/1/2020,1,,0,0,,,,,
"London, ON",Canada,2/4/2020,1,,0,0,,,,,
,Finland,1/31/2020,1,,0,0,,,,,
Tibet,Mainland China,2/1/2020,1,,0,0,,,,,
,Nepal,1/31/2020,1,,0,0,,,,,
,Spain,2/1/2020,1,,0,0,,,,,
,Sri Lanka,1/31/2020,1,,0,0,,,,,
,Sweden,2/1/2020,1,,0,0,,,,,
"Boston, MA",United States,2/1/2020,1,,0,0,,,,,
"Los Angeles, CA",United States,2/1/2020,1,,0,0,,,,,
"Orange, CA",United States,2/1/2020,1,,0,0,,,,,
"Seattle, WA",United States,2/1/2020,1,,0,0,,,,,
"Tempe, AZ",United States,2/1/2020,1,,0,0,,,,,
Hubei,Mainland China,2/4/2020,13522,,397,414,112.8783222,31.1517252,,,
Zhejiang,Mainland China,2/4/2020,829,,62,0,119.9999999,29.0000001,,,
Guangdong,Mainland China,2/4/2020,813,,30,0,113.1982688,23.1357694,,,
Henan,Mainland China,2/4/2020,675,,27,2,113.9999999,34.0000001,,,
Hunan,Mainland China,2/4/2020,593,,31,0,111.7487063,27.6662087,,,
Anhui,Mainland China,2/4/2020,480,,20,0,117,32,,,
Jiangxi,Mainland China,2/4/2020,476,,20,0,116,28,,,
Chongqing,Mainland China,2/4/2020,344,,9,2,106.5492822,29.5585712,,,
Jiangsu,Mainland China,2/4/2020,308,,12,0,119.9999999,33.0000001,,,
Sichuan,Mainland China,2/4/2020,282,,14,1,102.4999999,30.5000001,,,
Shandong,Mainland China,2/4/2020,275,,11,0,118.9999999,36.0000001,,,
Beijing,Mainland China,2/4/2020,228,,23,1,116.3912757,39.906217,,,
Shanghai,Mainland China,2/4/2020,219,,12,1,121.4890497,31.2252985,,,
Fujian,Mainland China,2/4/2020,194,,3,0,117.842778,26.5450001,,,
Heilongjiang,Mainland China,2/4/2020,155,,4,2,127.999992,48.0000047,,,
Shaanxi,Mainland China,2/4/2020,142,,2,0,109,36,,,
Guangxi,Mainland China,2/4/2020,139,,10,0,109,24,,,
Hebei,Mainland China,2/4/2020,126,,4,1,116,39.0000001,,,
Yunnan,Mainland China,2/4/2020,119,,5,0,102,25,,,
Liaoning,Mainland China,2/4/2020,81,,2,0,122.3263915,40.9739116,,,
Hainan,Mainland China,2/4/2020,80,,5,1,109.5999999,19.2000001,,,
Shanxi,Mainland China,2/4/2020,74,,4,0,112,37,,,
Tianjin,Mainland China,2/4/2020,67,,2,0,117.1980785,39.1235635,,,
Guizhou,Mainland China,2/4/2020,58,,2,0,107,27,,,
Gansu,Mainland China,2/4/2020,57,,4,0,101.9999999,38.0000001,,,
Jilin,Mainland China,2/4/2020,42,,1,0,125.9816054,42.9995032,,,
Inner Mongolia,Mainland China,2/4/2020,35,,1,0,114.3251664,43.2443242,,,
Ningxia,Mainland China,2/4/2020,34,,1,0,105.9608553,37.3095528,,,
Xinjiang,Mainland China,2/4/2020,29,,0,0,87.167384,41.757476,,,
,Thailand,2/4/2020,25,,5,0,,,,,
,Singapore,2/4/2020,24,,0,0,,,,,
,Japan,2/4/2020,22,,1,0,,,,,
Hong Kong,Hong Kong,2/4/2020,17,,0,1,,,,,
,South Korea,2/4/2020,16,,0,0,,,,,
Qinghai,Mainland China,2/4/2020,15,,0,0,,,,,
,Germany,2/3/2020,12,,0,0,,,,,
Taiwan,Taiwan,2/4/2020,11,,0,0,,,,,
Macau,Macau,2/4/2020,10,,0,0,,,,,
,Malaysia,2/4/2020,10,,0,0,,,,,
,Vietnam,2/3/2020,8,,1,0,,,,,
,France,2/1/2020,6,,0,0,,,,,
,United Arab Emirates,2/2/2020,5,,0,0,,,,,
New South Wales,Australia,2/1/2020,4,,2,0,,,,,
Victoria,Australia,2/1/2020,4,,0,0,,,,,
Queensland,Australia,2/4/2020,3,,0,0,,,,,
,India,2/3/2020,3,,0,0,,,,,
South Australia,Australia,2/2/2020,2,,0,0,,,,,
"Toronto, ON",Canada,2/4/2020,2,,0,0,,,,,
,Italy,1/31/2020,2,,0,0,,,,,
,Philippines,2/2/2020,2,,0,1,,,,,
,Russia,1/31/2020,2,,0,0,,,,,
,UK,2/1/2020,2,,0,0,,,,,
"Chicago, IL",United States,2/1/2020,2,,0,0,,,,,
"San Benito, CA",United States,2/3/2020,2,,0,0,,,,,
"Santa Clara, CA",United States,2/3/2020,2,,0,0,,,,,
,Belgium,2/4/2020,1,,0,0,,,,,
,Cambodia,1/31/2020,1,,0,0,,,,,
British Columbia,Canada,2/1/2020,1,,0,0,,,,,
"London, ON",Canada,2/4/2020,1,,0,0,,,,,
,Finland,1/31/2020,1,,0,0,,,,,
Tibet,Mainland China,2/1/2020,1,,0,0,,,,,
,Nepal,1/31/2020,1,,0,0,,,,,
,Spain,2/1/2020,1,,0,0,,,,,
,Sri Lanka,1/31/2020,1,,0,0,,,,,
,Sweden,2/1/2020,1,,0,0,,,,,
"Boston, MA",United States,2/1/2020,1,,0,0,,,,,
"Los Angeles, CA",United States,2/1/2020,1,,0,0,,,,,
"Orange, CA",United States,2/1/2020,1,,0,0,,,,,
"Seattle, WA",United States,2/1/2020,1,,0,0,,,,,
"Tempe, AZ",United States,2/1/2020,1,,0,0,,,,,
Hubei,Mainland China,2/4/2020,13522,,397,414,112.8783222,31.1517252,,,
Zhejiang,Mainland China,2/4/2020,829,,62,0,119.9999999,29.0000001,,,
Guangdong,Mainland China,2/4/2020,813,,30,0,113.1982688,23.1357694,,,
Henan,Mainland China,2/4/2020,675,,27,2,113.9999999,34.0000001,,,
Hunan,Mainland China,2/4/2020,593,,30,0,111.7487063,27.6662087,,,
Anhui,Mainland China,2/4/2020,480,,20,0,117,32,,,
Jiangxi,Mainland China,2/4/2020,476,,19,0,116,28,,,
Chongqing,Mainland China,2/4/2020,344,,9,2,106.5492822,29.5585712,,,
Jiangsu,Mainland China,2/4/2020,308,,12,0,119.9999999,33.0000001,,,
Sichuan,Mainland China,2/4/2020,282,,14,1,102.4999999,30.5000001,,,
Shandong,Mainland China,2/4/2020,275,,11,0,118.9999999,36.0000001,,,
Beijing,Mainland China,2/4/2020,228,,23,1,116.3912757,39.906217,,,
Shanghai,Mainland China,2/4/2020,219,,12,1,121.4890497,31.2252985,,,
Fujian,Mainland China,2/4/2020,194,,3,0,117.842778,26.5450001,,,
Heilongjiang,Mainland China,2/4/2020,155,,4,2,127.999992,48.0000047,,,
Shaanxi,Mainland China,2/4/2020,142,,2,0,109,36,,,
Guangxi,Mainland China,2/4/2020,139,,10,0,109,24,,,
Hebei,Mainland China,2/4/2020,126,,4,1,116,39.0000001,,,
Yunnan,Mainland China,2/4/2020,119,,5,0,102,25,,,
Hainan,Mainland China,2/4/2020,80,,5,1,109.5999999,19.2000001,,,
Liaoning,Mainland China,2/4/2020,77,,2,0,122.3263915,40.9739116,,,
Shanxi,Mainland China,2/4/2020,74,,4,0,112,37,,,
Tianjin,Mainland China,2/4/2020,67,,1,0,117.1980785,39.1235635,,,
Guizhou,Mainland China,2/4/2020,58,,2,0,107,27,,,
Gansu,Mainland China,2/3/2020,55,,3,0,101.9999999,38.0000001,,,
Jilin,Mainland China,2/4/2020,42,,1,0,125.9816054,42.9995032,,,
Inner Mongolia,Mainland China,2/4/2020,35,,1,0,114.3251664,43.2443242,,,
Ningxia,Mainland China,2/4/2020,34,,1,0,105.9608553,37.3095528,,,
Xinjiang,Mainland China,2/4/2020,29,,0,0,87.167384,41.757476,,,
,Japan,2/1/2020,20,,1,0,,,,,
,Thailand,1/31/2020,19,,5,0,,,,,
,Singapore,2/2/2020,18,,0,0,,,,,
Hong Kong,Hong Kong,2/4/2020,17,,0,1,,,,,
Qinghai,Mainland China,2/4/2020,15,,0,0,,,,,
,South Korea,2/2/2020,15,,0,0,,,,,
,Germany,2/3/2020,12,,0,0,,,,,
Macau,Macau,2/4/2020,10,,0,0,,,,,
,Malaysia,2/4/2020,10,,0,0,,,,,
Taiwan,Taiwan,1/31/2020,10,,0,0,,,,,
,Vietnam,2/3/2020,8,,1,0,,,,,
,France,2/1/2020,6,,0,0,,,,,
,United Arab Emirates,2/2/2020,5,,0,0,,,,,
New South Wales,Australia,2/1/2020,4,,2,0,,,,,
Victoria,Australia,2/1/2020,4,,0,0,,,,,
,India,2/3/2020,3,,0,0,,,,,
Queensland,Australia,2/2/2020,2,,0,0,,,,,
South Australia,Australia,2/2/2020,2,,0,0,,,,,
"Toronto, ON",Canada,2/4/2020,2,,0,0,,,,,
,Italy,1/31/2020,2,,0,0,,,,,
,Philippines,2/2/2020,2,,0,1,,,,,
,Russia,1/31/2020,2,,0,0,,,,,
,UK,2/1/2020,2,,0,0,,,,,
"Chicago, IL",United States,2/1/2020,2,,0,0,,,,,
"San Benito, CA",United States,2/3/2020,2,,0,0,,,,,
"Santa Clara, CA",United States,2/3/2020,2,,0,0,,,,,
,Cambodia,1/31/2020,1,,0,0,,,,,
British Columbia,Canada,2/1/2020,1,,0,0,,,,,
"London, ON",Canada,2/4/2020,1,,0,0,,,,,
,Finland,1/31/2020,1,,0,0,,,,,
Tibet,Mainland China,2/1/2020,1,,0,0,,,,,
,Nepal,1/31/2020,1,,0,0,,,,,
,Spain,2/1/2020,1,,0,0,,,,,
,Sri Lanka,1/31/2020,1,,0,0,,,,,
,Sweden,2/1/2020,1,,0,0,,,,,
"Boston, MA",United States,2/1/2020,1,,0,0,,,,,
"Los Angeles, CA",United States,2/1/2020,1,,0,0,,,,,
"Orange, CA",United States,2/1/2020,1,,0,0,,,,,
"Seattle, WA",United States,2/1/2020,1,,0,0,,,,,
"Tempe, AZ",United States,2/1/2020,1,,0,0,,,,,
Hubei,Mainland China,2/4/2020,13522,,396,414,112.8783222,31.1517252,,,
Zhejiang,Mainland China,2/4/2020,829,,48,0,119.9999999,29.0000001,,,
Guangdong,Mainland China,2/4/2020,797,,21,0,113.1982688,23.1357694,,,
Henan,Mainland China,2/4/2020,675,,20,2,113.9999999,34.0000001,,,
Hunan,Mainland China,2/4/2020,593,,22,0,111.7487063,27.6662087,,,
Anhui,Mainland China,2/4/2020,480,,14,0,117,32,,,
Jiangxi,Mainland China,2/4/2020,476,,19,0,116,28,,,
Chongqing,Mainland China,2/3/2020,337,,9,2,106.5492822,29.5585712,,,
Jiangsu,Mainland China,2/4/2020,308,,8,0,119.9999999,33.0000001,,,
Sichuan,Mainland China,2/4/2020,282,,14,1,102.4999999,30.5000001,,,
Shandong,Mainland China,2/4/2020,270,,7,0,118.9999999,36.0000001,,,
Beijing,Mainland China,2/3/2020,212,,12,1,116.3912757,39.906217,,,
Shanghai,Mainland China,2/4/2020,208,,10,1,121.4890497,31.2252985,,,
Fujian,Mainland China,2/3/2020,179,,1,0,117.842778,26.5450001,,,
Heilongjiang,Mainland China,2/4/2020,155,,2,2,127.999992,48.0000047,,,
Shaanxi,Mainland China,2/4/2020,142,,1,0,109,36,,,
Guangxi,Mainland China,2/4/2020,139,,7,0,109,24,,,
Hebei,Mainland China,2/4/2020,126,,3,1,116,39.0000001,,,
Yunnan,Mainland China,2/3/2020,117,,5,0,102,25,,,
Hainan,Mainland China,2/4/2020,79,,4,1,109.5999999,19.2000001,,,
Liaoning,Mainland China,2/3/2020,74,,1,0,122.3263915,40.9739116,,,
Shanxi,Mainland China,2/3/2020,74,,2,0,112,37,,,
Tianjin,Mainland China,2/3/2020,60,,1,0,117.1980785,39.1235635,,,
Guizhou,Mainland China,2/4/2020,56,,2,0,107,27,,,
Gansu,Mainland China,2/3/2020,55,,3,0,101.9999999,38.0000001,,,
Jilin,Mainland China,2/4/2020,42,,1,0,125.9816054,42.9995032,,,
Inner Mongolia,Mainland China,2/3/2020,34,,1,0,114.3251664,43.2443242,,,
Ningxia,Mainland China,2/4/2020,34,,1,0,105.9608553,37.3095528,,,
Xinjiang,Mainland China,2/4/2020,29,,0,0,87.167384,41.757476,,,
,Japan,2/1/2020,20,,1,0,,,,,
,Thailand,1/31/2020,19,,5,0,,,,,
,Singapore,2/2/2020,18,,0,0,,,,,
Hong Kong,Hong Kong,2/2/2020,15,,0,0,,,,,
Qinghai,Mainland China,2/4/2020,15,,0,0,,,,,
,South Korea,2/2/2020,15,,0,0,,,,,
,Germany,2/3/2020,12,,0,0,,,,,
Taiwan,Taiwan,1/31/2020,10,,0,0,,,,,
Macau,Macau,2/2/2020,8,,0,0,,,,,
,Malaysia,1/31/2020,8,,0,0,,,,,
,Vietnam,2/3/2020,8,,1,0,,,,,
,France,2/1/2020,6,,0,0,,,,,
,United Arab Emirates,2/2/2020,5,,0,0,,,,,
New South Wales,Australia,2/1/2020,4,,2,0,,,,,
Victoria,Australia,2/1/2020,4,,0,0,,,,,
,India,2/3/2020,3,,0,0,,,,,
Queensland,Australia,2/2/2020,2,,0,0,,,,,
South Australia,Australia,2/2/2020,2,,0,0,,,,,
"Toronto, ON",Canada,2/4/2020,2,,0,0,,,,,
,Italy,1/31/2020,2,,0,0,,,,,
,Philippines,2/2/2020,2,,0,1,,,,,
,Russia,1/31/2020,2,,0,0,,,,,
,UK,2/1/2020,2,,0,0,,,,,
"Chicago, IL",United States,2/1/2020,2,,0,0,,,,,
"San Benito, CA",United States,2/3/2020,2,,0,0,,,,,
"Santa Clara, CA",United States,2/3/2020,2,,0,0,,,,,
,Cambodia,1/31/2020,1,,0,0,,,,,
British Columbia,Canada,2/1/2020,1,,0,0,,,,,
"London, ON",Canada,2/4/2020,1,,0,0,,,,,
,Finland,1/31/2020,1,,0,0,,,,,
Tibet,Mainland China,2/1/2020,1,,0,0,,,,,
,Nepal,1/31/2020,1,,0,0,,,,,
,Spain,2/1/2020,1,,0,0,,,,,
,Sri Lanka,1/31/2020,1,,0,0,,,,,
,Sweden,2/1/2020,1,,0,0,,,,,
"Boston, MA",United States,2/1/2020,1,,0,0,,,,,
"Los Angeles, CA",United States,2/1/2020,1,,0,0,,,,,
"Orange, CA",United States,2/1/2020,1,,0,0,,,,,
"Seattle, WA",United States,2/1/2020,1,,0,0,,,,,
"Tempe, AZ",United States,2/1/2020,1,,0,0,,,,,
Hubei,Mainland China,2/3/2020,11177,,300,350,112.8783222,31.1517252,,,
Guangdong,Mainland China,2/3/2020,725,,21,0,113.1982688,23.1357694,,,
Zhejiang,Mainland China,2/3/2020,724,,43,0,119.9999999,29.0000001,,,
Henan,Mainland China,2/3/2020,566,,16,2,113.9999999,34.0000001,,,
Hunan,Mainland China,2/3/2020,521,,22,0,111.7487063,27.6662087,,,
Anhui,Mainland China,2/3/2020,408,,14,0,117,32,,,
Jiangxi,Mainland China,2/3/2020,391,,18,0,116,28,,,
Chongqing,Mainland China,2/3/2020,312,,8,2,106.5492822,29.5585712,,,
Jiangsu,Mainland China,2/3/2020,271,,8,0,119.9999999,33.0000001,,,
Shandong,Mainland China,2/3/2020,259,,7,0,118.9999999,36.0000001,,,
Sichuan,Mainland China,2/3/2020,254,,14,1,102.4999999,30.5000001,,,
Beijing,Mainland China,2/3/2020,212,,12,1,116.3912757,39.906217,,,
Shanghai,Mainland China,2/3/2020,203,,10,1,121.4890497,31.2252985,,,
Fujian,Mainland China,2/3/2020,179,,1,0,117.842778,26.5450001,,,
Shaanxi,Mainland China,2/3/2020,128,,0,0,109,36,,,
Guangxi,Mainland China,2/3/2020,127,,7,0,109,24,,,
Heilongjiang,Mainland China,2/3/2020,121,,2,2,127.999992,48.0000047,,,
Yunnan,Mainland China,2/3/2020,114,,5,0,102,25,,,
Hebei,Mainland China,2/3/2020,113,,3,1,116,39.0000001,,,
Liaoning,Mainland China,2/3/2020,74,,1,0,122.3263915,40.9739116,,,
Hainan,Mainland China,2/3/2020,72,,4,1,109.5999999,19.2000001,,,
Shanxi,Mainland China,2/3/2020,66,,2,0,112,37,,,
Tianjin,Mainland China,2/3/2020,60,,1,0,117.1980785,39.1235635,,,
Gansu,Mainland China,2/2/2020,51,,3,0,101.9999999,38.0000001,,,
Guizhou,Mainland China,2/3/2020,46,,2,0,107,27,,,
Inner Mongolia,Mainland China,2/3/2020,34,,1,0,114.3251664,43.2443242,,,
Jilin,Mainland China,2/3/2020,31,,1,0,125.9816054,42.9995032,,,
Ningxia,Mainland China,2/3/2020,31,,1,0,105.9608553,37.3095528,,,
Xinjiang,Mainland China,2/3/2020,24,,0,0,87.167384,41.757476,,,
,Japan,2/1/2020,20,,1,0,,,,,
,Thailand,1/31/2020,19,,5,0,,,,,
,Singapore,2/2/2020,18,,0,0,,,,,
Hong Kong,Hong Kong,2/2/2020,15,,0,0,,,,,
